year,level_1,level_2,value
1961,All Items,Food,23.73
1961,All Items,Food Excl Food Servicing Services,na
1961,All Items,Food Servicing Services,na
1961,All Items,Clothing & Footwear,54.685
1961,All Items,Housing & Utilities,23.51
1961,All Items,Household Durables And Services,33.34
1961,All Items,Health Care,19.863
1961,All Items,Transport,20.318
1961,All Items,Communication,87.887
1961,All Items,Recreation & Culture,51.022
1961,All Items,Education,17.211
1961,All Items,Miscellaneous Goods & Services,19.138
1962,All Items,Food,23.898
1962,All Items,Food Excl Food Servicing Services,na
1962,All Items,Food Servicing Services,na
1962,All Items,Clothing & Footwear,54.423
1962,All Items,Housing & Utilities,23.652
1962,All Items,Household Durables And Services,33.386
1962,All Items,Health Care,19.872
1962,All Items,Transport,20.303
1962,All Items,Communication,87.887
1962,All Items,Recreation & Culture,51.022
1962,All Items,Education,17.275
1962,All Items,Miscellaneous Goods & Services,19.131
1963,All Items,Food,24.773
1963,All Items,Food Excl Food Servicing Services,na
1963,All Items,Food Servicing Services,na
1963,All Items,Clothing & Footwear,54.245
1963,All Items,Housing & Utilities,23.703
1963,All Items,Household Durables And Services,32.704
1963,All Items,Health Care,19.863
1963,All Items,Transport,20.32
1963,All Items,Communication,87.887
1963,All Items,Recreation & Culture,50.972
1963,All Items,Education,17.834
1963,All Items,Miscellaneous Goods & Services,19.128
1964,All Items,Food,25.397
1964,All Items,Food Excl Food Servicing Services,na
1964,All Items,Food Servicing Services,na
1964,All Items,Clothing & Footwear,54.558
1964,All Items,Housing & Utilities,24.138
1964,All Items,Household Durables And Services,32.784
1964,All Items,Health Care,19.863
1964,All Items,Transport,20.389
1964,All Items,Communication,95.211
1964,All Items,Recreation & Culture,51.022
1964,All Items,Education,18.026
1964,All Items,Miscellaneous Goods & Services,18.887
1965,All Items,Food,25.279
1965,All Items,Food Excl Food Servicing Services,na
1965,All Items,Food Servicing Services,na
1965,All Items,Clothing & Footwear,55.236
1965,All Items,Housing & Utilities,24.584
1965,All Items,Household Durables And Services,33.581
1965,All Items,Health Care,19.863
1965,All Items,Transport,20.389
1965,All Items,Communication,131.831
1965,All Items,Recreation & Culture,51.022
1965,All Items,Education,17.609
1965,All Items,Miscellaneous Goods & Services,19.216
1966,All Items,Food,25.982
1966,All Items,Food Excl Food Servicing Services,na
1966,All Items,Food Servicing Services,na
1966,All Items,Clothing & Footwear,56.175
1966,All Items,Housing & Utilities,24.444
1966,All Items,Household Durables And Services,35.901
1966,All Items,Health Care,19.863
1966,All Items,Transport,20.393
1966,All Items,Communication,131.831
1966,All Items,Recreation & Culture,51.022
1966,All Items,Education,18.168
1966,All Items,Miscellaneous Goods & Services,19.514
1967,All Items,Food,27.212
1967,All Items,Food Excl Food Servicing Services,na
1967,All Items,Food Servicing Services,na
1967,All Items,Clothing & Footwear,56.286
1967,All Items,Housing & Utilities,25.058
1967,All Items,Household Durables And Services,38.176
1967,All Items,Health Care,19.863
1967,All Items,Transport,20.412
1967,All Items,Communication,131.831
1967,All Items,Recreation & Culture,51.022
1967,All Items,Education,17.843
1967,All Items,Miscellaneous Goods & Services,19.602
1968,All Items,Food,27.262
1968,All Items,Food Excl Food Servicing Services,na
1968,All Items,Food Servicing Services,na
1968,All Items,Clothing & Footwear,56.604
1968,All Items,Housing & Utilities,25.36
1968,All Items,Household Durables And Services,38.943
1968,All Items,Health Care,20.159
1968,All Items,Transport,20.412
1968,All Items,Communication,131.831
1968,All Items,Recreation & Culture,51.022
1968,All Items,Education,17.563
1968,All Items,Miscellaneous Goods & Services,20.316
1969,All Items,Food,26.739
1969,All Items,Food Excl Food Servicing Services,na
1969,All Items,Food Servicing Services,na
1969,All Items,Clothing & Footwear,57.814
1969,All Items,Housing & Utilities,25.927
1969,All Items,Household Durables And Services,38.765
1969,All Items,Health Care,21.839
1969,All Items,Transport,20.455
1969,All Items,Communication,131.831
1969,All Items,Recreation & Culture,51.022
1969,All Items,Education,17.934
1969,All Items,Miscellaneous Goods & Services,21.017
1970,All Items,Food,26.605
1970,All Items,Food Excl Food Servicing Services,na
1970,All Items,Food Servicing Services,na
1970,All Items,Clothing & Footwear,58.112
1970,All Items,Housing & Utilities,26.118
1970,All Items,Household Durables And Services,39.47
1970,All Items,Health Care,21.839
1970,All Items,Transport,20.432
1970,All Items,Communication,131.831
1970,All Items,Recreation & Culture,51.022
1970,All Items,Education,18.305
1970,All Items,Miscellaneous Goods & Services,21.817
1971,All Items,Food,27.213
1971,All Items,Food Excl Food Servicing Services,na
1971,All Items,Food Servicing Services,na
1971,All Items,Clothing & Footwear,59.688
1971,All Items,Housing & Utilities,26.703
1971,All Items,Household Durables And Services,39.854
1971,All Items,Health Care,21.799
1971,All Items,Transport,20.428
1971,All Items,Communication,131.831
1971,All Items,Recreation & Culture,52.369
1971,All Items,Education,18.088
1971,All Items,Miscellaneous Goods & Services,21.956
1972,All Items,Food,27.88
1972,All Items,Food Excl Food Servicing Services,na
1972,All Items,Food Servicing Services,na
1972,All Items,Clothing & Footwear,60.78
1972,All Items,Housing & Utilities,27.124
1972,All Items,Household Durables And Services,40.258
1972,All Items,Health Care,21.532
1972,All Items,Transport,20.435
1972,All Items,Communication,131.831
1972,All Items,Recreation & Culture,52.572
1972,All Items,Education,18.157
1972,All Items,Miscellaneous Goods & Services,22.724
1973,All Items,Food,37.121
1973,All Items,Food Excl Food Servicing Services,na
1973,All Items,Food Servicing Services,na
1973,All Items,Clothing & Footwear,70.81
1973,All Items,Housing & Utilities,28.061
1973,All Items,Household Durables And Services,45.876
1973,All Items,Health Care,22.143
1973,All Items,Transport,20.521
1973,All Items,Communication,131.831
1973,All Items,Recreation & Culture,53.535
1973,All Items,Education,18.689
1973,All Items,Miscellaneous Goods & Services,25.075
1974,All Items,Food,46.655
1974,All Items,Food Excl Food Servicing Services,na
1974,All Items,Food Servicing Services,na
1974,All Items,Clothing & Footwear,77.972
1974,All Items,Housing & Utilities,32.031
1974,All Items,Household Durables And Services,57.521
1974,All Items,Health Care,25.988
1974,All Items,Transport,28.809
1974,All Items,Communication,131.831
1974,All Items,Recreation & Culture,57.908
1974,All Items,Education,19.576
1974,All Items,Miscellaneous Goods & Services,28.813
1975,All Items,Food,47.155
1975,All Items,Food Excl Food Servicing Services,na
1975,All Items,Food Servicing Services,na
1975,All Items,Clothing & Footwear,76.946
1975,All Items,Housing & Utilities,34.288
1975,All Items,Household Durables And Services,60.07
1975,All Items,Health Care,27.681
1975,All Items,Transport,30.03
1975,All Items,Communication,131.831
1975,All Items,Recreation & Culture,58.479
1975,All Items,Education,19.981
1975,All Items,Miscellaneous Goods & Services,31.091
1976,All Items,Food,44.296
1976,All Items,Food Excl Food Servicing Services,na
1976,All Items,Food Servicing Services,na
1976,All Items,Clothing & Footwear,77.475
1976,All Items,Housing & Utilities,36.595
1976,All Items,Household Durables And Services,59.539
1976,All Items,Health Care,28.427
1976,All Items,Transport,31.325
1976,All Items,Communication,131.831
1976,All Items,Recreation & Culture,58.586
1976,All Items,Education,20.154
1976,All Items,Miscellaneous Goods & Services,31.82
1977,All Items,Food,46.473
1977,All Items,Food Excl Food Servicing Services,na
1977,All Items,Food Servicing Services,na
1977,All Items,Clothing & Footwear,78.621
1977,All Items,Housing & Utilities,37.006
1977,All Items,Household Durables And Services,60.726
1977,All Items,Health Care,28.882
1977,All Items,Transport,31.512
1977,All Items,Communication,131.831
1977,All Items,Recreation & Culture,58.578
1977,All Items,Education,20.54
1977,All Items,Miscellaneous Goods & Services,32.55
1978,All Items,Food,48.693
1978,All Items,Food Excl Food Servicing Services,na
1978,All Items,Food Servicing Services,na
1978,All Items,Clothing & Footwear,80.112
1978,All Items,Housing & Utilities,36.997
1978,All Items,Household Durables And Services,61.861
1978,All Items,Health Care,30.113
1978,All Items,Transport,33.182
1978,All Items,Communication,135.864
1978,All Items,Recreation & Culture,62.856
1978,All Items,Education,21.621
1978,All Items,Miscellaneous Goods & Services,33.678
1979,All Items,Food,50.062
1979,All Items,Food Excl Food Servicing Services,na
1979,All Items,Food Servicing Services,na
1979,All Items,Clothing & Footwear,82.941
1979,All Items,Housing & Utilities,38.879
1979,All Items,Household Durables And Services,64.565
1979,All Items,Health Care,31.225
1979,All Items,Transport,36.479
1979,All Items,Communication,137.22
1979,All Items,Recreation & Culture,65.911
1979,All Items,Education,22.57
1979,All Items,Miscellaneous Goods & Services,34.133
1980,All Items,Food,53.923
1980,All Items,Food Excl Food Servicing Services,na
1980,All Items,Food Servicing Services,na
1980,All Items,Clothing & Footwear,84.496
1980,All Items,Housing & Utilities,44.183
1980,All Items,Household Durables And Services,68.336
1980,All Items,Health Care,33.435
1980,All Items,Transport,41.697
1980,All Items,Communication,137.22
1980,All Items,Recreation & Culture,67.938
1980,All Items,Education,24.454
1980,All Items,Miscellaneous Goods & Services,37.095
1981,All Items,Food,59.088
