year,level_1,level_2,level_3,value
1961,All Items,Food Excl Food Servicing Services,Bread & Cereals,na
1961,All Items,Food Excl Food Servicing Services,Meat,na
1961,All Items,Food Excl Food Servicing Services,Fish & Seafood,na
1961,All Items,Food Excl Food Servicing Services,"Milk, Cheese & Eggs",na
1961,All Items,Food Excl Food Servicing Services,Oils & Fats,na
1961,All Items,Food Excl Food Servicing Services,Fruits,na
1961,All Items,Food Excl Food Servicing Services,Vegetables,na
1961,All Items,Food Excl Food Servicing Services,"Sugar, Preserves & Confectionery",na
1961,All Items,Food Excl Food Servicing Services,Non-alcoholic Beverages,na
1961,All Items,Food Excl Food Servicing Services,Other Food,na
1961,All Items,Food Servicing Services,Restaurant Food,na
1961,All Items,Food Servicing Services,Fast Food,na
1961,All Items,Food Servicing Services,Hawker Food (Incl. Food Courts),na
1961,All Items,Food Servicing Services,Catered Food,na
1961,All Items,Housing & Utilities,Accommodation,na
1961,All Items,Housing & Utilities,Fuel & Utilities,na
1961,All Items,Household Durables And Services,Household Durables,na
1961,All Items,Household Durables And Services,Household Services & Supplies,na
1961,All Items,Health Care,"Medical Products, Appliances & Equipment",na
1961,All Items,Health Care,Medical & Dental Treatment,na
1961,All Items,Transport,Private Road Transport,na
1961,All Items,Transport,Public Road Transport,na
1961,All Items,Transport,Other Travel & Transport,na
1961,All Items,Recreation & Culture,Recreation & Entertainment,na
1961,All Items,Recreation & Culture,"Newspapers, Books & Stationery",na
1961,All Items,Recreation & Culture,Holiday Expenses,na
1961,All Items,Education,Tuition & Other Fees,na
1961,All Items,Education,School Textbooks & Related Study Guides,na
1961,All Items,Miscellaneous Goods & Services,Personal Care,na
1961,All Items,Miscellaneous Goods & Services,Alcoholic Drinks & Tobacco,na
1961,All Items,Miscellaneous Goods & Services,Personal Effects,na
1961,All Items,Miscellaneous Goods & Services,Other Miscellaneous Expenditure,na
1962,All Items,Food Excl Food Servicing Services,Bread & Cereals,na
1962,All Items,Food Excl Food Servicing Services,Meat,na
1962,All Items,Food Excl Food Servicing Services,Fish & Seafood,na
1962,All Items,Food Excl Food Servicing Services,"Milk, Cheese & Eggs",na
1962,All Items,Food Excl Food Servicing Services,Oils & Fats,na
1962,All Items,Food Excl Food Servicing Services,Fruits,na
1962,All Items,Food Excl Food Servicing Services,Vegetables,na
1962,All Items,Food Excl Food Servicing Services,"Sugar, Preserves & Confectionery",na
1962,All Items,Food Excl Food Servicing Services,Non-alcoholic Beverages,na
1962,All Items,Food Excl Food Servicing Services,Other Food,na
1962,All Items,Food Servicing Services,Restaurant Food,na
1962,All Items,Food Servicing Services,Fast Food,na
1962,All Items,Food Servicing Services,Hawker Food (Incl. Food Courts),na
1962,All Items,Food Servicing Services,Catered Food,na
1962,All Items,Housing & Utilities,Accommodation,na
1962,All Items,Housing & Utilities,Fuel & Utilities,na
1962,All Items,Household Durables And Services,Household Durables,na
1962,All Items,Household Durables And Services,Household Services & Supplies,na
1962,All Items,Health Care,"Medical Products, Appliances & Equipment",na
1962,All Items,Health Care,Medical & Dental Treatment,na
1962,All Items,Transport,Private Road Transport,na
1962,All Items,Transport,Public Road Transport,na
1962,All Items,Transport,Other Travel & Transport,na
1962,All Items,Recreation & Culture,Recreation & Entertainment,na
1962,All Items,Recreation & Culture,"Newspapers, Books & Stationery",na
1962,All Items,Recreation & Culture,Holiday Expenses,na
1962,All Items,Education,Tuition & Other Fees,na
1962,All Items,Education,School Textbooks & Related Study Guides,na
1962,All Items,Miscellaneous Goods & Services,Personal Care,na
1962,All Items,Miscellaneous Goods & Services,Alcoholic Drinks & Tobacco,na
1962,All Items,Miscellaneous Goods & Services,Personal Effects,na
1962,All Items,Miscellaneous Goods & Services,Other Miscellaneous Expenditure,na
1963,All Items,Food Excl Food Servicing Services,Bread & Cereals,na
1963,All Items,Food Excl Food Servicing Services,Meat,na
1963,All Items,Food Excl Food Servicing Services,Fish & Seafood,na
1963,All Items,Food Excl Food Servicing Services,"Milk, Cheese & Eggs",na
1963,All Items,Food Excl Food Servicing Services,Oils & Fats,na
1963,All Items,Food Excl Food Servicing Services,Fruits,na
1963,All Items,Food Excl Food Servicing Services,Vegetables,na
1963,All Items,Food Excl Food Servicing Services,"Sugar, Preserves & Confectionery",na
1963,All Items,Food Excl Food Servicing Services,Non-alcoholic Beverages,na
1963,All Items,Food Excl Food Servicing Services,Other Food,na
1963,All Items,Food Servicing Services,Restaurant Food,na
1963,All Items,Food Servicing Services,Fast Food,na
1963,All Items,Food Servicing Services,Hawker Food (Incl. Food Courts),na
1963,All Items,Food Servicing Services,Catered Food,na
1963,All Items,Housing & Utilities,Accommodation,na
1963,All Items,Housing & Utilities,Fuel & Utilities,na
1963,All Items,Household Durables And Services,Household Durables,na
1963,All Items,Household Durables And Services,Household Services & Supplies,na
1963,All Items,Health Care,"Medical Products, Appliances & Equipment",na
1963,All Items,Health Care,Medical & Dental Treatment,na
1963,All Items,Transport,Private Road Transport,na
1963,All Items,Transport,Public Road Transport,na
1963,All Items,Transport,Other Travel & Transport,na
1963,All Items,Recreation & Culture,Recreation & Entertainment,na
1963,All Items,Recreation & Culture,"Newspapers, Books & Stationery",na
1963,All Items,Recreation & Culture,Holiday Expenses,na
1963,All Items,Education,Tuition & Other Fees,na
1963,All Items,Education,School Textbooks & Related Study Guides,na
1963,All Items,Miscellaneous Goods & Services,Personal Care,na
1963,All Items,Miscellaneous Goods & Services,Alcoholic Drinks & Tobacco,na
1963,All Items,Miscellaneous Goods & Services,Personal Effects,na
1963,All Items,Miscellaneous Goods & Services,Other Miscellaneous Expenditure,na
1964,All Items,Food Excl Food Servicing Services,Bread & Cereals,na
1964,All Items,Food Excl Food Servicing Services,Meat,na
1964,All Items,Food Excl Food Servicing Services,Fish & Seafood,na
1964,All Items,Food Excl Food Servicing Services,"Milk, Cheese & Eggs",na
1964,All Items,Food Excl Food Servicing Services,Oils & Fats,na
1964,All Items,Food Excl Food Servicing Services,Fruits,na
1964,All Items,Food Excl Food Servicing Services,Vegetables,na
1964,All Items,Food Excl Food Servicing Services,"Sugar, Preserves & Confectionery",na
1964,All Items,Food Excl Food Servicing Services,Non-alcoholic Beverages,na
1964,All Items,Food Excl Food Servicing Services,Other Food,na
1964,All Items,Food Servicing Services,Restaurant Food,na
1964,All Items,Food Servicing Services,Fast Food,na
1964,All Items,Food Servicing Services,Hawker Food (Incl. Food Courts),na
1964,All Items,Food Servicing Services,Catered Food,na
1964,All Items,Housing & Utilities,Accommodation,na
1964,All Items,Housing & Utilities,Fuel & Utilities,na
1964,All Items,Household Durables And Services,Household Durables,na
1964,All Items,Household Durables And Services,Household Services & Supplies,na
1964,All Items,Health Care,"Medical Products, Appliances & Equipment",na
1964,All Items,Health Care,Medical & Dental Treatment,na
1964,All Items,Transport,Private Road Transport,na
1964,All Items,Transport,Public Road Transport,na
1964,All Items,Transport,Other Travel & Transport,na
1964,All Items,Recreation & Culture,Recreation & Entertainment,na
1964,All Items,Recreation & Culture,"Newspapers, Books & Stationery",na
1964,All Items,Recreation & Culture,Holiday Expenses,na
1964,All Items,Education,Tuition & Other Fees,na
1964,All Items,Education,School Textbooks & Related Study Guides,na
1964,All Items,Miscellaneous Goods & Services,Personal Care,na
1964,All Items,Miscellaneous Goods & Services,Alcoholic Drinks & Tobacco,na
1964,All Items,Miscellaneous Goods & Services,Personal Effects,na
1964,All Items,Miscellaneous Goods & Services,Other Miscellaneous Expenditure,na
1965,All Items,Food Excl Food Servicing Services,Bread & Cereals,na
1965,All Items,Food Excl Food Servicing Services,Meat,na
1965,All Items,Food Excl Food Servicing Services,Fish & Seafood,na
1965,All Items,Food Excl Food Servicing Services,"Milk, Cheese & Eggs",na
1965,All Items,Food Excl Food Servicing Services,Oils & Fats,na
1965,All Items,Food Excl Food Servicing Services,Fruits,na
